id,text
audio/common_voice_da_29385748.wav,to
audio/common_voice_da_28812578.wav,fem
audio/common_voice_da_30528583.wav,ni
audio/common_voice_da_33451966.wav,nej
audio/common_voice_da_33451967.wav,ja
audio/common_voice_da_28682315.wav,ja
audio/common_voice_da_28682333.wav,syv
audio/common_voice_da_34975464.wav,fem
audio/common_voice_da_34975468.wav,ja
audio/common_voice_da_28540340.wav,nej
audio/common_voice_da_28540342.wav,syv
audio/common_voice_da_28540343.wav,en
audio/common_voice_da_30648123.wav,ja
audio/common_voice_da_30648126.wav,ni
audio/common_voice_da_30648127.wav,fire
audio/common_voice_da_34398243.wav,to
audio/common_voice_da_34398244.wav,seks
audio/common_voice_da_34398245.wav,fire
audio/common_voice_da_28792124.wav,syv
audio/common_voice_da_28792125.wav,otte
audio/common_voice_da_28792126.wav,fire
audio/common_voice_da_28792127.wav,ni
audio/common_voice_da_32339582.wav,ja
audio/common_voice_da_32339583.wav,nej
audio/common_voice_da_32339584.wav,fem
audio/common_voice_da_32339585.wav,ni
audio/common_voice_da_28797282.wav,ja
audio/common_voice_da_28797283.wav,otte
audio/common_voice_da_28797285.wav,fire
audio/common_voice_da_28797286.wav,fem
audio/common_voice_da_32652075.wav,ni
audio/common_voice_da_32652076.wav,syv
audio/common_voice_da_32652077.wav,ja
audio/common_voice_da_32652079.wav,nul
audio/common_voice_da_31434249.wav,syv
audio/common_voice_da_31434250.wav,to
audio/common_voice_da_31434251.wav,nej
audio/common_voice_da_31434252.wav,fire
audio/common_voice_da_31180842.wav,fire
audio/common_voice_da_31180844.wav,nej
audio/common_voice_da_31180845.wav,fem
audio/common_voice_da_31180846.wav,syv
audio/common_voice_da_31260292.wav,to
audio/common_voice_da_31260295.wav,syv
audio/common_voice_da_31260296.wav,seks
audio/common_voice_da_31260298.wav,nul
audio/common_voice_da_36918583.wav,fire
audio/common_voice_da_36918585.wav,to
audio/common_voice_da_36918586.wav,ni
audio/common_voice_da_36918582.wav,syv
audio/common_voice_da_31220952.wav,fem
audio/common_voice_da_31220954.wav,seks
audio/common_voice_da_31220955.wav,ni
audio/common_voice_da_31220956.wav,to
audio/common_voice_da_33197870.wav,ja
audio/common_voice_da_33197871.wav,en
audio/common_voice_da_33197874.wav,fem
audio/common_voice_da_33197875.wav,fire
audio/common_voice_da_32098736.wav,to
audio/common_voice_da_32098737.wav,syv
audio/common_voice_da_32098739.wav,nul
audio/common_voice_da_32098740.wav,ja
audio/common_voice_da_30515652.wav,fire
audio/common_voice_da_30515654.wav,syv
audio/common_voice_da_30515655.wav,ja
audio/common_voice_da_30515656.wav,fem
audio/common_voice_da_32932620.wav,otte
audio/common_voice_da_32932625.wav,en
audio/common_voice_da_32932627.wav,fem
audio/common_voice_da_32932630.wav,fire
audio/common_voice_da_30515261.wav,ja
audio/common_voice_da_30515262.wav,nul
audio/common_voice_da_30515263.wav,ni
audio/common_voice_da_30515265.wav,otte
audio/common_voice_da_31191098.wav,seks
audio/common_voice_da_31191099.wav,fem
audio/common_voice_da_31191101.wav,to
audio/common_voice_da_31191102.wav,en
audio/common_voice_da_28554347.wav,ja
audio/common_voice_da_28554349.wav,fem
audio/common_voice_da_28554350.wav,seks
audio/common_voice_da_28554351.wav,nej
audio/common_voice_da_29518744.wav,tree
audio/common_voice_da_29518745.wav,en
audio/common_voice_da_29518746.wav,nul
audio/common_voice_da_29518748.wav,syv
audio/common_voice_da_35074869.wav,otte
audio/common_voice_da_35074871.wav,syv
audio/common_voice_da_35074872.wav,nej
audio/common_voice_da_35074873.wav,fire
audio/common_voice_da_28523624.wav,to
audio/common_voice_da_28523626.wav,seks
audio/common_voice_da_28523627.wav,tree
audio/common_voice_da_28523629.wav,fem
audio/common_voice_da_28523630.wav,nej
audio/common_voice_da_28495687.wav,nul
audio/common_voice_da_28495688.wav,otte
audio/common_voice_da_28495689.wav,seks
audio/common_voice_da_28495690.wav,nej
audio/common_voice_da_28495691.wav,ni
audio/common_voice_da_27771350.wav,Det er ganske hult inden i!
audio/common_voice_da_27771351.wav,syv
audio/common_voice_da_27771352.wav,otte
audio/common_voice_da_27771353.wav,fire
audio/common_voice_da_27771354.wav,ni
audio/common_voice_da_32823033.wav,syv
audio/common_voice_da_32823034.wav,fem
audio/common_voice_da_32823036.wav,otte
audio/common_voice_da_32823037.wav,ni
audio/common_voice_da_32823038.wav,nej
audio/common_voice_da_31307991.wav,nul
audio/common_voice_da_31307992.wav,fem
audio/common_voice_da_31307993.wav,seks
audio/common_voice_da_31307994.wav,ni
audio/common_voice_da_31307995.wav,ja
audio/common_voice_da_28016616.wav,en
audio/common_voice_da_28016617.wav,syv
audio/common_voice_da_28016618.wav,ja
audio/common_voice_da_28016619.wav,nej
audio/common_voice_da_28016620.wav,seks
audio/common_voice_da_30617359.wav,nul
audio/common_voice_da_30617360.wav,seks
audio/common_voice_da_30617361.wav,tree
audio/common_voice_da_30617362.wav,en
audio/common_voice_da_30617363.wav,fem
audio/common_voice_da_31455653.wav,ja
audio/common_voice_da_31455654.wav,fire
audio/common_voice_da_31455655.wav,to
audio/common_voice_da_31455656.wav,nej
audio/common_voice_da_31455657.wav,nul
audio/common_voice_da_32906304.wav,nej
audio/common_voice_da_32906306.wav,ja
audio/common_voice_da_32906309.wav,fem
audio/common_voice_da_32906311.wav,to
audio/common_voice_da_32906313.wav,ni
audio/common_voice_da_31007478.wav,fire
audio/common_voice_da_31007479.wav,nul
audio/common_voice_da_31007480.wav,ja
audio/common_voice_da_31007481.wav,ni
audio/common_voice_da_31007482.wav,en
audio/common_voice_da_28807528.wav,syv
audio/common_voice_da_28807529.wav,en
audio/common_voice_da_28807530.wav,to
audio/common_voice_da_28807531.wav,ja
audio/common_voice_da_28807532.wav,fem
audio/common_voice_da_28378920.wav,to
audio/common_voice_da_28378921.wav,otte
audio/common_voice_da_28378922.wav,fem
audio/common_voice_da_28378923.wav,syv
audio/common_voice_da_28378924.wav,fire
audio/common_voice_da_29669052.wav,ja
audio/common_voice_da_29669053.wav,nul
audio/common_voice_da_29669054.wav,otte
audio/common_voice_da_29669055.wav,en
audio/common_voice_da_29669056.wav,fire
audio/common_voice_da_28540136.wav,seks
audio/common_voice_da_28540137.wav,otte
audio/common_voice_da_28540138.wav,fem
audio/common_voice_da_28540139.wav,to
audio/common_voice_da_28540140.wav,ja
audio/common_voice_da_32668461.wav,en
audio/common_voice_da_32668463.wav,tree
audio/common_voice_da_32668465.wav,nul
audio/common_voice_da_32668468.wav,ja
audio/common_voice_da_32668470.wav,fem
audio/common_voice_da_28496501.wav,syv
audio/common_voice_da_28496502.wav,nej
audio/common_voice_da_28496503.wav,en
audio/common_voice_da_28496504.wav,to
audio/common_voice_da_28496505.wav,tree
audio/common_voice_da_29391571.wav,en
audio/common_voice_da_29391573.wav,otte
audio/common_voice_da_29391575.wav,seks
audio/common_voice_da_29391578.wav,fire
audio/common_voice_da_29391580.wav,tree
audio/common_voice_da_28793173.wav,nul
audio/common_voice_da_28793174.wav,seks
audio/common_voice_da_28793175.wav,fire
audio/common_voice_da_28793176.wav,ni
audio/common_voice_da_28793177.wav,tree
audio/common_voice_da_34906852.wav,otte
audio/common_voice_da_34906853.wav,to
audio/common_voice_da_34906854.wav,nul
audio/common_voice_da_34906855.wav,en
